,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100
cg001,0.48186859256248715,0.24446018545669912,0.2376851038893517,0.18662140787120785,0.8490816683752845,0.30553225708202103,0.9657071729430977,0.7365403526966489,0.2752829065809601,0.17424102719374512,0.2421383906717166,0.4535598414292986,0.8997652251502087,0.5857325846522538,0.45102313016830153,0.7344160328283642,0.0735438322238583,0.5129956273377628,0.8817640573027374,0.9143149027452256,0.15277782211099145,0.8305102935807203,0.04565010568668071,0.8085004599814295,0.724657337007685,0.9180287027711416,0.3558824849767629,0.8263048264715668,0.13391948822939825,0.9320635179288549,0.03236318725642784,0.13379434000619028,0.7724146975747689,0.1497570272745372,0.5860938629158521,0.8365353526451692,0.1291162041279451,0.4023652462849895,0.07610680328807529,0.07264820749712586,0.3512772638602294,0.9680815186995045,0.031344036416783516,0.6656286684258981,0.05126295161320704,0.6356289253453348,0.2516801444555613,0.9090534493766032,0.45090924011414824,0.31422108051547215,0.5092292095032969,0.21778967782877923,0.9328268223774171,0.8830582904039458,0.172286059241212,0.5096596098983712,0.9293073057472621,0.5526685205574327,0.4654573458768223,0.38010838873020425,0.08129530259962392,0.12748406234520848,0.49876879281243813,0.6300205370518936,0.5592554671080958,0.8275577635624337,0.8753201656356855,0.20878535355094674,0.04559303207905807,0.8824847696033663,0.9596793864596491,0.6885774262820957,0.31067810883509284,0.3185584278703931,0.14412370401192864,0.49073603316355074,0.9294955332815088,0.6900547296303475,0.04844759604855575,0.06058830383064506,0.29285510922810143,0.8707234882686629,0.9839219490596867,0.8729783220243215,0.6788951291949751,0.09972473289177952,0.7157889701227359,0.8444700269050938,0.9496273955983735,0.38099198771006115,0.10769250501847583,0.7966344152054133,0.5921928001239989,0.17045078917620504,0.01775873446516174,0.5671006244012146,0.8527720215795458,0.23796641242788685,0.7151869958628444,0.11805725304945325
cg002,0.7681690260625372,0.10208171011668121,0.4894773394078651,0.238239454744959,0.6143429189989771,0.8493900080083214,0.6889814593795396,0.39556294151677873,0.2514762600364029,0.8302173335705014,0.5445760767374151,0.8202410169574569,0.3807598317196699,0.519978199752922,0.01607860263957528,0.45798539624366197,0.7268991676338435,0.5971148447389326,0.7932068624781717,0.06768702922335423,0.28861911435994203,0.9966271617120686,0.012063464214112196,0.4406197189442941,0.4095319481277896,0.7996984161944239,0.179923506098288,0.7152951592698346,0.6671245602277693,0.9914808653735501,0.9312732212958221,0.10534950268850607,0.0723816063258973,0.7979471579326831,0.5627625636894905,0.4165300107313624,0.05976371389044266,0.2691678179295951,0.6847865325106128,0.33778025452610483,0.14275755816390223,0.04465044767284132,0.779548750543057,0.7778546942148863,0.9332753704898825,0.8561680098051837,0.03542823204397427,0.7755307688577089,0.09070242613434354,0.9465010403313655,0.4220823658186601,0.05938252636839758,0.3940429735344636,0.17956534498946863,0.7987645844413916,0.9589650519487546,0.8285848368572638,0.7739363575703668,0.997273469608805,0.5889026333255396,0.8724554052225159,0.018072123387511296,0.623488532184292,0.8467821340677535,0.4556495712209776,0.907098501443338,0.02748859285422689,0.5298226627435036,0.3672356518917431,0.31771203744262333,0.7769773103661832,0.3107128319676946,0.9313678080775045,0.4697247211095392,0.6334295716349939,0.21514003093191048,0.0525024872799329,0.6831424692304606,0.6582215415912083,0.010086709273950278,0.7276530859169735,0.5698119949451296,0.034192227602678926,0.4890127798625069,0.4853351226573751,0.4696418718423645,0.061905636792669694,0.48051735799405415,0.6325179343524711,0.8724323278228198,0.016409143881830124,0.26761453455811257,0.43577016339082597,0.3211118924561902,0.5801023567922459,0.4239876778430758,0.6358559285350622,0.8562092788471606,0.15825377736957424,0.9908143962394744
cg003,0.6399347508978013,0.7747796350143186,0.2747700997491307,0.01593389217128982,0.6567714368870133,0.8938032597396716,0.08939363485287799,0.05208234593626604,0.719626309610452,0.3118464030487642,0.6174678601995319,0.6787498455458607,0.293451677389984,0.22760776176883446,0.5942846839755489,0.05370258514057746,0.8576683671393759,0.6317349015039796,0.7141322282701563,0.7786924085717861,0.09569602228972063,0.45365902954888226,0.31735924726252807,0.9526549938314863,0.6002033844982279,0.30914277819790326,0.32299406908180894,0.6061986358366546,0.2490095523167697,0.8042567904780018,0.9870283602768435,0.8972416001658221,0.14597452697613778,0.9590657461183889,0.6942351992347247,0.7124788749156227,0.3403878623927509,0.06211887032067054,0.7143118104268646,0.07665366957753528,0.4915652477299387,0.26962093358713835,0.9160645343853554,0.8099146821774943,0.7400935344525733,0.4046688454991404,0.7459869451766893,0.764076157156008,0.22491030472111206,0.10987724730324433,0.1651209131628898,0.8400565195626606,0.03535093879255069,0.887327738950694,0.8473326004703314,0.1309976590869537,0.29744438361586023,0.24349511199710838,0.4281916876757027,0.9550990418216889,0.2033375051986438,0.878554664705898,0.0028148443597557637,0.9405074124454256,0.3655200733189795,0.5564406637790716,0.22034036600061435,0.8137446089214329,0.4924595279244248,0.26328753370104907,0.27207796547835095,0.061670274302543904,0.4301295227510241,0.9576765057713483,0.7511200077839505,0.8243750033119012,0.4718734282516064,0.9903212216825261,0.7706648262133738,0.6705096236356445,0.14127464252679078,0.43184208281423886,0.7609705393284741,0.571370601725595,0.9338818547495982,0.6264798699414666,0.08595313381124436,0.34379180738192017,0.23776159821430642,0.24472099873000142,0.5411161292482388,0.008746587533507433,0.4807833962384255,0.917217917317485,0.003954021199457314,0.6015885524529261,0.6338363634217944,0.3318344352906022,0.28324342612039766,0.3006558273007762
cg004,0.6545884663710035,0.18309559239178952,0.3656733850024033,0.46756936153729056,0.7036769616361326,0.8298286909326611,0.6730495975675967,0.8447770509661848,0.5859344701269866,0.5788403486829021,0.8244078921921517,0.5185954217879998,0.6496081933756135,0.6413229134868287,0.8687111434339597,0.7535182301826369,0.8780568977154475,0.38398074449179387,0.49893784386905227,0.9754389260530432,0.15052314975302017,0.05734919801947458,0.5007461644748897,0.3714190072311758,0.8295339043373124,0.566101121182751,0.0006337786471620754,0.48148371896640973,0.42704392733482277,0.31812256042426823,0.3619378196221039,0.40027617910505,0.9010253901814101,0.5805608258979336,0.28854937043529494,0.12206402199292243,0.1503906474024186,0.16031538232380882,0.3372756144722483,0.9757702817778989,0.6787003202709206,0.2670836842126323,0.23594605403669644,0.6372993820702499,0.5659186004447132,0.807033931590494,0.6262444531807614,0.6124404383457909,0.14967039955446437,0.17577938561817907,0.1813532097142988,0.6614482253216246,0.18822942336906567,0.18807876596033768,0.01846151198490764,0.24931408701515057,0.7770439777947383,0.3516004898543784,0.5272317001493525,0.41877697859546925,0.003676528706249238,0.449860080985623,0.521109740372849,0.6050311929625954,0.6636264586239308,0.12029235004437144,0.6460202016149272,0.21750763738707513,0.1638381796014945,0.23019779137023932,0.4550059763407225,0.6968015905070261,0.6793845384186157,0.21143188550317493,0.471940736469059,0.42928548314950776,0.8873425193569188,0.7714366525008824,0.9845738493058295,0.96858944209254,0.504426940362967,0.20807479332092593,0.3177010135219429,0.9669174610866518,0.855564291876958,0.2162679202790868,0.1575344670683646,0.08045364834009627,0.7967975958652538,0.36595497656871334,0.35097544224188293,0.4007255293792453,0.3401360465994503,0.11901416035556489,0.05268229692243953,0.5213338898542826,0.4203233624312861,0.20211251819771092,0.5835732846532686,0.6302294766419921
cg005,0.06026786819775154,0.4721776558132732,0.1170320900300782,0.3758824973273257,0.058839478890039376,0.28075380237209513,0.2296819587933866,0.19458859633025272,0.1826108758801528,0.005704319269781211,0.23756640881184576,0.39997268072178593,0.807039975637775,0.33389164835608076,0.22599914133663135,0.27874674402600874,0.9181752447400563,0.9354890504258764,0.5706846179296454,0.7574286046313109,0.2871815226211024,0.40722454152508314,0.09199197893801503,0.47116248649032344,0.6798907640152183,0.31294574965317834,0.5919176616355142,0.6485441269813799,0.37645762487009715,0.13753017666889222,0.8639262896448433,0.8230164173066749,0.05179827224184019,0.923377763501377,0.46570503340572533,0.20090265727636958,0.4283445962699366,0.5701450463173671,0.5955417484029999,0.299835070875378,0.44855447705102125,0.7484389037548989,0.08241221946559352,0.10949819646372094,0.575275434561794,0.0025326409783686943,0.3883354535665581,0.6107396958020778,0.405370250961259,0.752478077709047,0.9711516405290325,0.9628080911804485,0.06309461145375228,0.4090743216961735,0.463113268488788,0.7434701162128085,0.7513748819399151,0.46997654999274785,0.42277183129531837,0.5620193741675881,0.6180423993942779,0.26726560893762485,0.4221659497670708,0.17645447645093648,0.7151277812469863,0.4757400970407084,0.8121222359416849,0.6089074146918513,0.16501722387825069,0.23040563967270966,0.17973989296267723,0.6117583619062105,0.5339156203173152,0.8756815651914706,0.18564148066567043,0.8467916142592802,0.8115599519584968,0.6473443820853655,0.9041712871382006,0.019967791610073116,0.5781164028945497,0.29295454963318546,0.8169679194411703,0.5256711539421672,0.6328234689431464,0.9521189883003406,0.10550792914115947,0.034852927169955916,0.034376834353257224,0.1096168284718001,0.7720314250454418,0.43498808111708653,0.11027464976844592,0.503906787311546,0.6614593010576164,0.02312906549404603,0.5402283667874267,0.07234779918215761,0.9149525187791142,0.6694043465161553
cg006,0.31209042397421816,0.25858695505582907,0.5856686877820815,0.17271052836549194,0.49974463293984195,0.2985782443999436,0.7593394082619256,0.34045283610605737,0.7693853635945844,0.20224426393353534,0.05594823560480411,0.4355597571942199,0.5265127205396394,0.4208498433231983,0.1839263235109232,0.4222810871775555,0.7791524548853851,0.7946168406427154,0.8552609722270763,0.6546304925626576,0.9483850129721209,0.8411093867710253,0.3488045798567546,0.44472963155957623,0.5032488412165311,0.4232681720632141,0.4424952056328342,0.8655716838963367,0.8180234341288904,0.6540752500436376,0.8824478658154985,0.7574050276991506,0.44904870992458223,0.5543347265226131,0.8616191331814931,0.5336480428542351,0.8834855007431072,0.7840564677313068,0.5802223988274027,0.004162013547752252,0.33289156856131696,0.5129942048320876,0.5363267306121337,0.9612648957205447,0.4776184653290747,0.14188449366459044,0.5337932503075505,0.8875169994907183,0.2133615712296708,0.5014136169752642,0.6403985426884226,0.1857480131805127,0.35971121516568394,0.9357963511704616,0.33949773075139233,0.49425051196526326,0.9996005823786223,0.8205080935592348,0.08427794200649308,0.8282251192491663,0.3372529144990468,0.9306170731847755,0.4868815029426471,0.551437268022897,0.49985654957909786,0.11822143864613555,0.504708276456997,0.7819298710701045,0.835425679971789,0.275357319212703,0.6382221995186199,0.7637873166331128,0.9123137294234224,0.7322089461023525,0.6753960038713434,0.3424386504648983,0.03731785015063016,0.5903180086792807,0.28366925272018695,0.18471724915796595,0.08208057198809915,0.735886583151385,0.03305489238814352,0.1433019454827552,0.6547471619696242,0.5900160934699126,0.3069308380124236,0.766797662271074,0.8740375367201715,0.5784719104049649,0.799575778030146,0.9596176533300048,0.40146192566507644,0.5191955372683001,0.21035040489979961,0.7360453751054269,0.9584601048640062,0.40332655079701507,0.5082910772374346,0.7354722279595408
cg007,0.7806882653266657,0.013837916468327549,0.5811677165824328,0.2318584267318411,0.024087234470707708,0.07229838606901806,0.15400382781220012,0.8253304267678396,0.454770821061658,0.2883351973617444,0.5284086756979357,0.35017763290910864,0.9204425347440615,0.3112504283765347,0.07419958201919363,0.24302165950212828,0.8179661205593041,0.30694308608833065,0.1966976172375241,0.6616060497117813,0.29245112997586986,0.8257596910367937,0.7867169804213778,0.6643699125443285,0.31594857510844987,0.4339247103629873,0.11293689592176459,0.48225275408706436,0.027574127034619367,0.43229016580662927,0.8634938927016264,0.7892926182533988,0.5304019492374509,0.9589125876143698,0.5254705459158282,0.9338556346566552,0.5550539690206919,0.19995815999907063,0.9735205333088293,0.8760300591168728,0.08799331675946453,0.3439651224765353,0.01652025113079514,0.7911459962645845,0.9622981086095642,0.3367763797033235,0.4868090129379701,0.6792437278269222,0.10540725533942819,0.7371616249387107,0.19796657426635988,0.5832906643680531,0.5777621799345994,0.3348740691001012,0.6162382127698867,0.9836417507229884,0.2865381918548645,0.27888047259329884,0.64254834883296,0.16576996612678263,0.5892705150653877,0.6141919782387444,0.6732220424143911,0.6309213109224286,0.5447394783478003,0.18279059259032437,0.22378122866564476,0.8442675966867239,0.18580767362536532,0.5528212195187451,0.5726845271158003,0.46891531332186176,0.6387332142648554,0.6193045134075347,0.22976017333941978,0.7044473475137512,0.24852477039330678,0.9454554956754257,0.9910504441808701,0.7126942503748862,0.3346801605694486,0.05955810717222576,0.5589098502408418,0.8436347756292242,0.877707048016158,0.8982137460506406,0.6948572673904583,0.6010915810789553,0.20726012424240603,0.5681392217392507,0.7727811057872537,0.9357467507051401,0.9585673535896778,0.5315809177654757,0.016168131514176287,0.48918815145145667,0.924525371751163,0.1686246249273302,0.06542949113021312,0.10474969257808786
cg008,0.5316085969632309,0.39243010500365294,0.49313878400252353,0.3329241001644003,0.31657232398092006,0.8657121882724199,0.5068261341151975,0.8436166290344751,0.05836786258877347,0.7456466691886107,0.8818762632790016,0.5527196052472859,0.08441018607161133,0.9790865605230464,0.8468644202945421,0.6287275699422414,0.22349690659999066,0.12332042280059519,0.8147142464470981,0.022758162044239194,0.538313679074504,0.6475183680678894,0.9743814403905047,0.4672407292173575,0.18794663285961966,0.874141925350265,0.6336216157415969,0.22940803761377793,0.9923046428110351,0.6165538069372258,0.7664070454539934,0.10213055300418583,0.7701424626969015,0.9348382853632003,0.2667488782243729,0.06526255400534942,0.6832770436590688,0.389773865358755,0.5847374958228438,0.3997238154724939,0.7141266506475067,0.28808384140931853,0.7388194417409144,0.9376527084186106,0.6953712261557754,0.6820066119556154,0.43642057566026826,0.7806772895603729,0.24212651379575134,0.981297196968345,0.5653287336381598,0.05788574051099604,0.777591303549066,0.05669237072391409,0.006560435590276414,0.02656342315384863,0.028442452733773882,0.304149725879827,0.4912397147739054,0.19931145742270606,0.6694614016108374,0.3985823433409976,0.5360740974587557,0.01400546207772646,0.9353698919219794,0.5568483400341084,0.5861097316070532,0.6473498118988116,0.9618126975989796,0.21721648382239878,0.7820830325257807,0.8771890483804976,0.2774418252519655,0.8181195367198842,0.7750396556088948,0.15108058265333635,0.620529793440687,0.26097474174182556,0.26118082051283165,0.9238322828836624,0.5666524208119926,0.2719196207438973,0.5408406101203228,0.2385833525932286,0.20363887387053725,0.5726978192601594,0.8462740458691185,0.002210848115984154,0.2853992630528115,0.8185297938018063,0.9889278979272339,0.3902968285442229,0.3486277370090266,0.2934936095299394,0.2853829989873432,0.3327217796789331,0.09810311398622751,0.39923319123646095,0.07929884134782861,0.12785236997121807
cg009,0.9572745234239659,0.8327198375814772,0.22627795460320987,0.03316481128857629,0.26536724525958666,0.07999089441613205,0.9341615676185301,0.044617480246530006,0.2430272803974659,0.8476654153465689,0.34759029601658475,0.9910288171675549,0.6868781578585442,0.6741367845756143,0.2429410602240164,0.5003984416398812,0.8740336800940273,0.38183413735640304,0.31448869034353777,0.7679275438354101,0.40904890554827467,0.10798637358623675,0.9679541475082705,0.9172910823834608,0.9195723292706819,0.344372206271099,0.8872222913646164,0.5418383575304188,0.09976289225515445,0.5385323043270258,0.3373006181662813,0.4039246989029218,0.4104954509161597,0.5738475839372912,0.45548716792211474,0.852054168480268,0.1239701433349385,0.023281105512303113,0.5640542013526358,0.8029085412239321,0.115406107410153,0.33206605704017855,0.4893797315124647,0.8303669077089462,0.09483075056065482,0.6252974369104516,0.895144810634856,0.8381058152819171,0.6450308467779667,0.33716529921565186,0.4487095480356399,0.10192477195623595,0.26591053659016284,0.8464517595010936,0.28883228491274815,0.05512579300561116,0.9874447575093134,0.8124199851089126,0.762410367862337,0.5406735563897478,0.3439785147267984,0.5832745225133256,0.7936276009103906,0.18724059587898967,0.314119300459032,0.5258249483690087,0.04225661732903496,0.996747814205765,0.01902645115420365,0.45974915966140706,0.7778812300958844,0.8278065480074599,0.17468040449526046,0.47850531129434937,0.33823000690335503,0.7393784124919253,0.6003890882747026,0.6344559014076353,0.8481384536732616,0.1253896268498954,0.6648829124321307,0.6886065636246333,0.898883601218805,0.8632223052813308,0.16090816277946873,0.8123030186747837,0.8970978104167956,0.7970862682460904,0.7944880542511203,0.5787590822362444,0.4561530069559194,0.9446877303786728,0.8567614848809827,0.17731811026414968,0.07581206402259377,0.8935937479197349,0.6371697344762624,0.20938871110837276,0.780826428377747,0.6169547124041014
cg010,0.6214517779177332,0.44676987860715867,0.9367839935968897,0.39969783714153173,0.586310417801552,0.7576398321005783,0.8678771728695356,0.12357183598640253,0.6118713402484176,0.9388139337952307,0.8414684126688422,0.2191977491628736,0.7020049560162948,0.475519464855209,0.1685765778756546,0.5966858167438045,0.5835337107233455,0.47999297507249894,0.007455442861905914,0.06670519876539782,0.3703099102585945,0.2272269516340829,0.8963398724356151,0.09414322629536542,0.34540421182910275,0.8599285166251955,0.540681019183072,0.6619466169172494,0.168344559950089,0.40264911432903183,0.10126309280559131,0.6609614162566071,0.7864030145836363,0.9736016636752007,0.8744192742150745,0.3226481936246943,0.5472096369973509,0.8560533509723895,0.678044291412903,0.5777004823513634,0.6727742485655794,0.9758613006819578,0.870090856317178,0.8820878382523457,0.37143095568320506,0.40595324323656057,0.15429115873730648,0.8199466288086374,0.5866725992781439,0.7076565815670035,0.07327069832328303,0.6172427736311585,0.6306427825741495,0.9222936087535513,0.44092510095664206,0.7866553137571688,0.34770042701273307,0.58000112544617,0.5142831969107144,0.2678719604880633,0.6888610043480589,0.43153683541688326,0.6268984086495097,0.7724871953428947,0.7075585190548653,0.17547338885435393,0.5410407964003313,0.7368941733989841,0.5602367848415014,0.013576033291195833,0.74827628595423,0.9847207463103419,0.39363855549883253,0.6667609246066399,0.27771482339849596,0.863692467316353,0.9026298330548559,0.8891798619392655,0.8789415140892194,0.7550432150232722,0.7848738264500615,0.056599109220144106,0.20209986182039652,0.2611845065738546,0.2106312760946455,0.34805024639694193,0.18016871533255374,0.6896651094037983,0.8929341298861447,0.4473546527856691,0.8786169705372764,0.6536655797444256,0.9949880956236911,0.1611518236624897,0.21995591283825155,0.028972763968118764,0.5447492181430552,0.886177879460873,0.1517194708451972,0.3953114590360126
