,age,sex
001,35.54717848484486,0
002,48.1790812105357,1
003,36.37626023308764,1
004,30.858432298273932,0
005,38.199675040593846,0
006,35.08321110105831,1
007,53.29606478900959,0
008,58.35290770781879,0
009,44.717045226472955,1
010,40.55511182780806,1
011,47.63510214253234,1
012,19.883522510273966,1
013,29.68369105257172,1
014,42.8574600073928,1
015,33.775942449842475,1
016,36.168387457831805,0
017,24.932108342477157,0
018,51.17726896162838,1
019,24.483361645778974,1
020,48.330367390153455,0
021,32.64048781451291,0
022,27.357607458501576,1
023,36.767335765084795,1
024,30.714354341110745,0
025,26.64193467108168,1
026,19.156296531177375,1
027,41.36356084455882,0
028,61.3704253668107,0
029,47.062404431993244,1
030,63.928268676423116,1
031,27.734240624148285,0
032,33.611565478885204,1
033,38.483010648020795,0
034,57.1547767829759,0
035,37.971527041923025,0
036,21.558699971672944,0
037,49.49974203400197,0
038,18.665387054816787,0
039,22.8773616816088,1
040,26.04642311937498,1
041,41.58968935438034,1
042,36.51158420411994,1
043,34.995440366337604,1
044,25.248816319708098,0
045,39.50938851524701,1
046,18.15566750136013,0
047,63.73753606504361,0
048,47.89325306434391,1
049,29.435625799304365,0
050,30.45148931037729,1
051,25.27891325463351,1
052,32.302435135244515,1
053,33.704132429858525,0
054,32.27969336257881,1
055,37.329512171909265,0
056,20.330662845678347,0
057,49.36121089840843,1
058,44.1853912141718,1
059,27.68452767112457,0
060,37.752125599251734,1
061,57.42239576431761,0
062,57.79469371636664,0
063,34.02434686864199,1
064,62.069316903603,0
065,56.42598828657252,0
066,26.62674989221158,0
067,41.092051115099096,0
068,63.03385427213824,0
069,44.98378115592337,1
070,38.214610727292865,0
071,57.64318314240723,0
072,37.96236763249237,1
073,28.812744537919897,0
074,59.49050229503091,0
075,18.489343728267087,0
076,45.09549193590513,1
077,25.382597965559494,0
078,44.64022414842279,1
079,60.2191298133584,1
080,26.801454806147664,0
081,37.78040711658256,1
082,42.89483776394286,1
083,31.323207954710004,0
084,31.246261083573575,0
085,41.56011623578965,0
086,20.619630636997023,0
087,62.21890756948522,1
088,21.982820567943534,1
089,43.31217652078361,0
090,54.19915623922564,0
091,38.88633612652123,0
092,43.08054699819984,1
093,26.368828579756816,1
094,62.54174179555141,1
095,57.48775550454734,0
096,58.385118213372344,0
097,60.12072868169629,0
098,42.2355406074493,1
099,49.932133142036264,0
100,38.394379609336205,1
